index_name,doc_count,size_gb,health,category,status,quality,issues,action_required,notes
# === PRIMARY ENTITY INDICES (PRODUCTION) ===
atlas,155563145,18.2,green,ENTITY_DOMAIN,PRODUCTION,HIGH,,"Domain enrichment source"
domains_unified,180342617,17.1,green,ENTITY_DOMAIN,PRODUCTION,SPARSE,83% UNENRICHED,"Filter by exists:categories for enriched subset"
atlas_unified_domains,8474522,1.3,green,ENTITY_DOMAIN,PRODUCTION,HIGH,,"Already consolidated domains"
top_domains,8671244,1.5,yellow,ENTITY_DOMAIN,PRODUCTION,HIGH,YELLOW_HEALTH,"Rank-focused domains"
unified_domain_profiles,5851357,0.9,yellow,ENTITY_DOMAIN,PRODUCTION,HIGH,YELLOW_HEALTH,"Domain profiles"
companies_unified,14930568,16.1,green,ENTITY_COMPANY,PRODUCTION,MIXED,GARBAGE:name field,"Use legal_name instead of name"
openownership,36460977,19.3,green,ENTITY_COMPANY,PRODUCTION,PARTIAL,EMPTY:subject_name,"Use interested_party_name instead"
persons_unified,6386096,2.7,green,ENTITY_PERSON,PRODUCTION,GARBAGE,GARBAGE:full_name,"full_name is NER failures - use linkedin_unified instead"
linkedin_unified,2884999,0.9,green,ENTITY_PERSON,PRODUCTION,HIGH,,"PREFERRED source for person/company names"
emails_unified,5000,0.01,green,ENTITY_EMAIL,INCOMPLETE,CORRUPTED,"CORRUPTED:email_domain,local_part","Only 5K docs - use breach_records for emails"
phones_unified,49524,0.09,green,ENTITY_PHONE,PRODUCTION,HIGH,,"Phone-centric index"
breach_records,189236815,38.7,green,ENTITY_BREACH,PRODUCTION,MIXED,GARBAGE:name,"Use email field only - name is usernames"
red_flag,1950406,2.5,yellow,ENTITY_SANCTIONS,PRODUCTION,HIGH,YELLOW_HEALTH,"Sanctions/PEP - AUTHORITATIVE"
# === DUPLICATE/REDUNDANT INDICES ===
search_nodes_v3,1950406,2.5,yellow,ENTITY_SANCTIONS,DUPLICATE,N/A,DUPLICATE_OF:red_flag,SKIP,"Exact duplicate of red_flag - do not use"
# === WDC SCHEMA.ORG INDICES ===
wdc-organization-entities,9618873,14.9,green,WDC_ENTITY,PRODUCTION,HIGH,,"Schema.org organizations"
wdc-localbusiness-entities,478341,0.8,green,WDC_ENTITY,PRODUCTION,HIGH,,"Schema.org local businesses"
wdc-person-entities,6842260,13.8,green,WDC_ENTITY,PRODUCTION,HIGH,,"Schema.org persons"
wdc-product-entities,20379243,30.0,green,WDC_ENTITY,PRODUCTION,HIGH,,"Schema.org products"
wdc-governmentorganization-entities,25229,0.14,green,WDC_ENTITY,PRODUCTION,HIGH,,"Government orgs"
wdc-domain-profiles,246998,0.04,green,WDC_METADATA,PRODUCTION,HIGH,,"Domain metadata"
# === UK PROPERTY INDICES ===
uk_ccod,4290542,1.5,green,UK_PROPERTY,PRODUCTION,HIGH,,"UK commercial ownership - GEOCODED"
uk_addresses,4275000,1.7,green,UK_PROPERTY,PRODUCTION,HIGH,,"UK addresses - GEOCODED"
uk_leases,7671742,1.3,green,UK_PROPERTY,PRODUCTION,HIGH,,"UK leases"
uk_ocod,91599,0.03,green,UK_PROPERTY,PRODUCTION,HIGH,,"UK overseas ownership - GEOCODED"
# === GRAPH/EDGE INDICES ===
cymonides_cc_domain_edges,435770000,16.5,green,EDGE_GRAPH,PRODUCTION,HIGH,,"Domain edge graph - vertex IDs"
cc_web_graph_host_edges,421203112,28.6,green,EDGE_GRAPH,PRODUCTION,HIGH,,"Host link graph"
cc_host_vertices,235648112,12.7,green,EDGE_GRAPH,PRODUCTION,HIGH,,"CommonCrawl host vertices"
